** comment line **
ProbeName,t48h_1,t96h_1,t24h_1
A_55_P2151728,6.35941921098344,6.30495297800019,6.37935203851181
A_55_P2902822,12.0668426224102,12.8068288887656,12.8723555303947
A_55_P2075220,7.09324275702919,7.13280229697076,7.51205846349763
A_52_P227469,6.94703665499189,7.0799026153894,7.16633304135045
A_51_P160293,6.29096859800768,6.45010246798003,6.24555210219556
** a final comment line
A_30_P01018536,6.28441997775892,6.51746110214546,6.26094843553915
A_51_P147085,11.9077698644512,11.8814638801716,11.95901938993
A_30_P01029081,8.99234459107958,9.09906449786022,9.56640278932941
A_55_P2739989,7.99387327918185,7.48868174556199,8.47121596045485
A_55_P2000062,14.502000406938,14.8548853503794,14.3080578015657
A_55_P2112403,7.26186369574277,7.00587667000298,7.05483702543057
A_55_P2715919,6.50656070366711,6.37649972757764,6.37501474925084
A_51_P198645,6.37236212920912,6.41347197678398,6.38868196864102
A_55_P2137688,7.07016273134323,7.58067227074184,6.36693842250762
A_55_P2003488,10.3092179128204,10.4255343730664,10.3982977706168
A_55_P1995210,17.1642658886458,17.0159635198802,17.1785217829303
A_55_P2185362,6.82153697790562,6.82591601667229,6.80974057898257
A_55_P2137783,9.32577059847887,9.47721021363414,9.49147003466228
A_55_P2186629,6.69263531233153,6.73036915512463,6.62369045445583
A_51_P376333,6.76192155631302,6.67558463340723,6.80279812247047
A_55_P2046423,6.42268612595427,6.27065200738962,6.39952396498251
A_66_P105032,8.46252651993822,7.64793955260811,7.33102553237524
A_52_P545613,6.31415952564996,6.17709481308808,6.23493476283153
A_30_P01022188,7.73285696152788,7.60978668935013,7.99509242034438
A_55_P2743485,6.4916330013013,6.49293703740989,6.26319934589003
A_55_P2013780,13.2358785837906,12.7114174705056,14.1921510131944
A_66_P114412,8.42330245368231,8.44254449031577,8.88797381292065
A_55_P2721737,6.34752253404287,6.23040867498616,6.36072918786542
A_52_P232453,8.92869067924017,8.89652058156919,8.85770054768518
A_55_P2021065,8.54931906320414,8.30322871843017,8.5411664055918
A_55_P2736859,6.61107931306099,6.60638418619602,6.79561791577519
A_55_P2108938,10.9842594146101,11.1724968525265,10.7275049062071
A_55_P1994302,7.0774772902961,6.79723010764598,6.92158465516165
