exp1	exp2	exp3	exp4
ENSMUSG00000067714	1.45442033693102	0	0	0
ENSMUSG00000097353	6.01182985576575	5.18433491160384	6.13173102757533	5.50674123822469
ENSMUSG00000034947	7.17580704604435	6.60379730732579	7.29900155887309	6.83250628231029
ENSMUSG00000038784	10.5760278958762	10.9406960027441	10.6091184107488	10.9663639387151
ENSMUSG00000019794	10.8364350544397	10.7999457180886	10.7889558988936	10.9810209377146
ENSMUSG00000047420	1.45442033693102	0	0.97084219459155	0
ENSMUSG00000032192	8.47595515002425	8.44998414710507	8.34640176038683	8.61760877692183
ENSMUSG00000035112	10.0127576649866	6.94017023914067	10.2460521215267	8.3086791775364
ENSMUSG00000019326	0.903217358624446	1.56779897684916	0	1.13868678786224
ENSMUSG00000037014	0	0	1.54595298476388	0
ENSMUSG00000065360	0	1.56779897684916	0.97084219459155	0
ENSMUSG00000097867	6.81236620403699	6.36680509735162	6.57104684716336	6.47137891254775
ENSMUSG00000038775	11.412409400266	11.5143143176318	11.7484546150258	11.8994840769258
ENSMUSG00000098077	3.14275476178979	2.30130722647411	3.1176743411215	2.5378478169171
ENSMUSG00000031393	11.7489885894597	12.103144297912	11.7818772323111	12.1795253530075
ENSMUSG00000069439	2.63723761457707	0.987146538009096	1.54595298476388	2.5378478169171
ENSMUSG00000027883	11.5560907142721	10.6071891343815	11.5433371578416	10.4172749313461
ENSMUSG00000045165	7.25191213438838	5.88150230937135	6.97496490089558	5.96097641317146
ENSMUSG00000068689	3.62211250239076	3.43597583811754	2.53603353716311	2.20333128539084
ENSMUSG00000089646	4.93488882614489	4.73002970766184	5.07208309891549	4.33834468597321
ENSMUSG00000069300	11.7519037522657	9.33176925191582	11.259084291371	8.69076333579271
ENSMUSG00000025588	0	1.56779897684916	1.54595298476388	1.13868678786224
ENSMUSG00000028514	12.0586708709212	12.0250526339007	11.9963794791498	11.9862304115061
ENSMUSG00000027646	12.4222445436151	13.268082792891	12.295894739012	13.0198466924345
ENSMUSG00000020921	9.15515172198804	9.47405940406719	9.02334290420722	9.19544381060009
ENSMUSG00000032802	11.4474473291499	11.6922899767676	11.4855845688298	11.44189481115
ENSMUSG00000021466	11.158754591741	11.5483065103253	11.1866603878895	11.5671747093468
ENSMUSG00000020303	8.0481072294624	7.66779035126634	7.87206669211944	8.03888343082313
ENSMUSG00000041992	4.39337084882303	6.12429157390355	3.64614112886433	5.42838293642561
ENSMUSG00000072421	2.63723761457707	2.78524979445569	3.1176743411215	2.20333128539084
ENSMUSG00000108427	3.14275476178979	0	2.7570033105543	2.20333128539084
ENSMUSG00000032527	10.1648641589461	9.59443046173132	10.3663425522554	9.954907637294
ENSMUSG00000057156	8.58459480846652	9.24334643690838	8.54115073913045	9.24200216137101
ENSMUSG00000090564	5.16226184201432	4.14554930294067	5.15216067993678	4.15585216904342
ENSMUSG00000031378	8.90577111231014	8.2916718183455	9.07818083666969	8.61318783196748
ENSMUSG00000088062	0	0	0	1.76706584471762
ENSMUSG00000057897	2.82611625447415	0.987146538009096	2.27498848455507	1.76706584471762
ENSMUSG00000084477	0	0	0.97084219459155	2.5378478169171
ENSMUSG00000064566	0.903217358624446	1.56779897684916	0	0
ENSMUSG00000050866	8.71877987396986	2.30130722647411	8.83299321503221	2.5378478169171
ENSMUSG00000032942	0.903217358624446	1.56779897684916	0	2.80921390161836
ENSMUSG00000046861	10.3513237967784	10.7580090679349	10.4469358266563	10.754882466578
ENSMUSG00000108437	0	0.987146538009096	1.95603928554084	1.13868678786224
ENSMUSG00000003752	8.6359932442738	9.72072218247531	8.64858590639113	9.45461266165946
ENSMUSG00000004455	7.65838020959224	7.77519426346394	7.41715415171238	7.17007337303235
ENSMUSG00000043644	4.45190815331322	5.29675685157433	4.26601471298513	5.38754777214425
ENSMUSG00000047003	9.38659173334049	9.12397052009922	9.35056228356234	9.13813046749198
ENSMUSG00000008167	11.1783897128035	11.4869269095291	11.1620909581323	11.459856482197
ENSMUSG00000006462	3.89953474535627	5.14482609851515	4.03207887623333	3.40795649289778
ENSMUSG00000020732	2.16379773371026	0.987146538009096	2.27498848455507	2.20333128539084
ENSMUSG00000081306	0	0	0.97084219459155	1.13868678786224
ENSMUSG00000031848	11.6137138414478	10.9414168031704	11.5199469642161	10.792515849915
ENSMUSG00000090602	3.4022519706043	3.67662008414651	3.53104811962597	3.40795649289778
ENSMUSG00000097861	0	0.987146538009096	0.97084219459155	0
ENSMUSG00000034744	10.0804159120556	10.1060577122352	10.2776359823316	10.3955574230661
ENSMUSG00000080242	7.9397862488683	7.60366573466912	7.47278940081992	7.50200249168325
ENSMUSG00000101413	1.8522771340668	0.987146538009096	2.27498848455507	0
ENSMUSG00000086504	2.16379773371026	0.987146538009096	1.54595298476388	2.20333128539084
ENSMUSG00000102324	5.38890970161801	5.99694613267384	5.55701951514787	5.96097641317146
ENSMUSG00000106224	4.50816263315608	3.56130964429362	4.69819598242167	4.05514936827114
ENSMUSG00000038538	10.7960510032577	11.6798177181561	10.8748043132034	11.4369002587782
ENSMUSG00000094050	0.903217358624446	2.30130722647411	0.97084219459155	1.76706584471762
ENSMUSG00000069274	11.0797495085318	9.23866249530981	10.8916691979902	8.79202332169132
ENSMUSG00000056271	6.26134645606063	5.01936097727091	6.26376252129998	4.77819347695902
ENSMUSG00000025963	3.27832998052945	2.56347600003389	3.64614112886433	2.5378478169171
ENSMUSG00000058498	1.45442033693102	2.97743072806845	0	1.13868678786224
ENSMUSG00000085043	0	0.987146538009096	1.54595298476388	0
ENSMUSG00000089652	0.903217358624446	0	0	1.13868678786224
ENSMUSG00000072618	2.82611625447415	0.987146538009096	3.1176743411215	1.76706584471762
ENSMUSG00000020185	9.85495682976376	8.56295983912301	9.62239457185071	8.0650161281512
ENSMUSG00000019578	10.8514622026546	11.0000216945894	10.9648661509578	11.1152585818726
ENSMUSG00000029198	12.1290300802907	11.8383706635586	11.9800161941164	11.6590396312609
ENSMUSG00000044359	0.903217358624446	0	2.27498848455507	0
ENSMUSG00000026111	10.691369142532	10.7895752845804	10.7084742693915	10.8658890969183
ENSMUSG00000016252	11.7135392917721	11.2327541984567	11.879942688788	11.2763128616282
ENSMUSG00000034525	11.4393325262958	12.3787917331753	11.4409495662192	11.8655025126463
ENSMUSG00000024299	8.52449456755964	9.19096717729559	8.72912152264295	8.77629177139231
ENSMUSG00000018659	10.4676029722516	9.9005003024201	10.5438204514587	9.83853221512998
